Modelo,Conjunto,Acurácia,Precisão,Recall,F1,AUC
SVM,Teste final,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.996031746031746
RandomForest,Teste final,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9973544973544973
RandomForest,Validação inicial,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9921388797903701
SVM,Validação inicial,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9921388797903701
NaiveBayes,Validação inicial,0.9385964912280702,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.9823124795283327
RandomForest,Validação otimizada,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9903373730756633
SVM,Validação otimizada,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9957418932197838
