Feature,Importance
worst perimeter,0.16620526050321732
worst radius,0.15291624014541433
worst area,0.12419713560213577
worst concave points,0.1159770200189097
mean concave points,0.0907831325495658
mean concavity,0.06251266019184609
mean area,0.049229233002493517
mean radius,0.04369645677153128
mean perimeter,0.038445331091597194
worst symmetry,0.020035301024609285
